tweet_id,topic_category,tweet_timestamp,sentiment_score,positive_score,negative_score,neutral_score,impressions,likes,engagement_count
T10413,Sports,2025-01-23T02:53:00.000Z,0.500796855,0.30461246,0.406897689,0.479747582,14083,2494,369
T10426,Finance,2025-01-21T05:40:00.000Z,0.500796855,0.382553927,0.010485633,0.864171274,11076,2916,758
T10438,Sports,2025-01-07T05:08:00.000Z,0.500796855,0.747014342,0.399431787,0.045388083,3151,4847,750
T1044,Sports,2025-01-16T02:10:00.000Z,0.004232012,0.178329094,0.501487752,0.861786085,3018,195,40
T10448,AI,2025-01-18T09:20:00.000Z,0.457749069,0.478762875,0.046726728,0.287599323,12824,2494,805
T1045,Sports,2025-01-02T05:50:00.000Z,0.500796855,0.336237825,0.811150861,0.69957184,14775,2494,584
T10466,Cloud,2025-01-02T15:52:00.000Z,0.970058796,0.430098198,0.553238412,0.193417822,18032,4415,979
T10479,AI,2025-01-17T02:30:00.000Z,0.752330311,0.301422521,0.222606877,0.724060775,16723,3076,184
T10484,Sports,2025-01-16T23:06:00.000Z,0.500796855,0.434428293,0.759981019,0.880987537,13090,3276,766
T10487,Sports,2025-01-07T08:44:00.000Z,0.500796855,0.674120563,0.220830366,0.995810698,17747,2494,872
T10505,Finance,2025-01-04T20:44:00.000Z,0.483071472,0.49738816,0.502885092,0.622021986,2010,962,128
T10511,Sports,2025-01-22T07:16:00.000Z,0.646234027,0.652919,0.047690615,0.552274864,9148,1380,232
T10544,Cloud,2025-01-10T17:35:00.000Z,0.500796855,0.010564005,0.4059428,0.504428297,13979,829,617
T10546,Cloud,2025-01-06T12:57:00.000Z,0.243660358,0.695302788,0.149037936,0.505375397,2012,1609,874
T10549,Finance,2025-01-07T16:47:00.000Z,0.141305845,0.011802631,0.344422502,0.215645088,18729,3791,422
T10554,Finance,2025-01-08T09:14:00.000Z,0.500796855,0.932197395,0.224751671,0.105501813,7713,2926,961
T10580,Sports,2025-01-09T19:42:00.000Z,0.500796855,0.455088856,0.781788979,0.621794599,18697,3403,665
T1060,AI,2025-01-23T03:32:00.000Z,0.040790787,0.280278589,0.539650512,0.118921058,10130,4648,24
T10608,Cloud,2025-01-21T19:16:00.000Z,0.500796855,0.371713239,0.828181462,0.623712747,1227,411,205
T10630,Finance,2025-01-21T11:59:00.000Z,0.500796855,0.47854936,0.105182132,0.887522118,626,2098,740
T10653,Finance,2025-01-23T15:03:00.000Z,0.702930921,0.413927906,0.811664658,0.348759599,12952,4679,154
T10661,AI,2025-01-02T01:19:00.000Z,0.288701074,0.572467612,0.546494056,0.381598695,1818,912,501
T10665,Cloud,2025-01-21T07:45:00.000Z,0.448549208,0.49738816,0.192226908,0.925082136,10130,3719,702
T10667,Cloud,2025-01-23T04:55:00.000Z,0.500796855,0.122441789,0.161093924,0.469456837,11142,2023,119
T10669,Sports,2025-01-16T01:49:00.000Z,0.500796855,0.754416338,0.492344545,0.552788005,18255,3674,177
T10689,Sports,2025-01-21T10:12:00.000Z,0.518821299,0.106397289,0.191284764,0.032516493,11202,4877,496
T10692,Finance,2025-01-22T20:44:00.000Z,0.500796855,0.061761216,0.140798887,0.265163304,15864,1187,336
T10694,Sports,2025-01-20T11:06:00.000Z,0.500796855,0.710574931,0.594930066,0.745032379,72,1667,65
T10698,AI,2025-01-03T09:39:00.000Z,0.247922635,0.323418621,0.337797246,0.999548242,1156,1065,234
T10701,Cloud,2025-01-07T10:58:00.000Z,0.500796855,0.05268053,0.241022606,0.387779718,17929,2494,911
T10704,Cloud,2025-01-08T06:01:00.000Z,0.765472354,0.879063575,0.690306959,0.276915796,14069,1670,386
T10724,Cloud,2025-01-15T00:33:00.000Z,0.500796855,0.048571142,0.303598258,0.744977693,2460,2258,188
T10725,Cloud,2025-01-10T04:43:00.000Z,0.167379489,0.697311603,0.458489005,0.826420442,10130,1532,282
T10736,AI,2025-01-23T06:30:00.000Z,0.515175698,0.211864442,0.30557898,0.605712037,12796,2718,739
T10744,Sports,2025-01-07T02:08:00.000Z,0.500796855,0.941645707,0.395954278,0.330739477,13683,4436,349
T10757,Sports,2025-01-05T05:00:00.000Z,0.959423325,0.231567229,0.044282875,0.494190817,18857,3082,519
T10765,Cloud,2025-01-19T03:02:00.000Z,0.322538097,0.432226565,0.163433833,0.119459779,10130,4032,11
T10775,Finance,2025-01-10T18:33:00.000Z,0.500796855,0.996425686,0.186093346,0.185569487,356,818,379
T10777,AI,2025-01-08T09:32:00.000Z,0.991255879,0.73443467,0.206701784,0.390993651,14574,4273,735
T10781,Sports,2025-01-15T01:50:00.000Z,0.500796855,0.49738816,0.027804029,0.569124522,3124,339,367
T10784,Sports,2025-01-24T02:20:00.000Z,0.500796855,0.683815241,0.824857564,0.156993981,16967,1923,168
T10785,Finance,2025-01-13T10:27:00.000Z,0.710398602,0.500589472,0.92365867,0.546083065,7569,3497,237
T10844,Finance,2025-01-01T12:31:00.000Z,0.416038974,0.980385045,0.019786992,0.808254365,1298,2691,628
T10855,Cloud,2025-01-13T18:05:00.000Z,0.500796855,0.915010705,0.430814133,0.920321391,15157,2602,569
T10886,Cloud,2025-01-20T15:49:00.000Z,0.500796855,0.877686797,0.223366291,0.832613875,19012,786,50
T10890,AI,2025-01-08T22:28:00.000Z,0.928460083,0.268511455,0.77319515,0.370369375,17676,2675,580
T10916,AI,2025-01-17T08:26:00.000Z,0.617160167,0.23219823,0.661712348,0.104716906,12071,3029,501
T10928,Cloud,2025-01-15T20:58:00.000Z,0.500796855,0.189320959,0.710028371,0.629619607,9150,887,991
T10958,AI,2025-01-04T00:38:00.000Z,0.500796855,0.49738816,0.948622402,0.057339626,10130,4731,921
T10960,AI,2025-01-11T19:26:00.000Z,0.500796855,0.892041045,0.992829765,0.594152922,16656,4612,626
T10982,AI,2025-01-11T21:38:00.000Z,0.500796855,0.850264973,0.976074371,0.29217167,5952,2971,277
T10999,Cloud,2025-01-19T21:27:00.000Z,0.500796855,0.49738816,0.142051377,0.617610312,13084,3554,645
T11020,Sports,2025-01-16T23:41:00.000Z,0.943086499,0.703363472,0.768430202,0.504428297,13068,443,498
T11028,Sports,2025-01-07T14:15:00.000Z,0.450504781,0.162931431,0.792592175,0.169687474,11487,3039,713
T11032,Finance,2025-01-21T11:58:00.000Z,0.500796855,0.603204971,0.220242021,0.714601215,19123,4653,740
T11039,Finance,2025-01-10T15:34:00.000Z,0.500796855,0.958553464,0.205952219,0.140776717,566,2970,872
T11053,Finance,2025-01-16T03:32:00.000Z,0.998786146,0.598633341,0.64569194,0.028895115,17518,4567,474
T11056,Sports,2025-01-10T00:23:00.000Z,0.500796855,0.606393441,0.149067615,0.458763142,13933,986,217
T11062,AI,2025-01-13T00:08:00.000Z,0.395357328,0.632663648,0.05780713,0.255836696,17283,2268,288
T11068,Finance,2025-01-09T04:14:00.000Z,0.500796855,0.036566019,0.432575644,0.525027995,3996,4255,679
T11070,Sports,2025-01-11T01:28:00.000Z,0.500796855,0.282042202,0.479151574,0.580699102,17277,3746,740
T11078,Finance,2025-01-10T18:28:00.000Z,0.074225513,0.790256728,0.492344545,0.392809939,1122,352,123
T1108,AI,2025-01-08T16:10:00.000Z,0.500796855,0.25209709,0.796057261,0.988380514,1043,3145,958
T11081,Finance,2025-01-10T20:46:00.000Z,0.586342888,0.865114271,0.072398518,0.482129763,15565,426,443
T1109,Cloud,2025-01-21T05:11:00.000Z,0.816721319,0.711307784,0.679337323,0.515801807,10130,4631,529
T11094,Cloud,2025-01-21T06:25:00.000Z,0.500796855,0.219080769,0.366441096,0.504428297,10130,2410,964
T11098,Sports,2025-01-17T06:14:00.000Z,0.500796855,0.441221061,0.430585232,0.063179072,15739,1932,314
T1111,Sports,2025-01-04T15:13:00.000Z,0.504842965,0.152950266,0.341361904,0.504428297,9797,2020,514
T11132,Sports,2025-01-11T01:41:00.000Z,0.500796855,0.107046044,0.564235187,0.874538347,6110,1936,501
T1114,Cloud,2025-01-11T00:26:00.000Z,0.818099606,0.247421831,0.430329065,0.988379411,18285,2623,579
T11154,Sports,2025-01-10T19:33:00.000Z,0.783050276,0.348879228,0.207446307,0.230733856,15558,122,267
T11157,Cloud,2025-01-19T08:59:00.000Z,0.500796855,0.49738816,0.271259139,0.767135309,14725,2591,339
T1117,AI,2025-01-02T04:23:00.000Z,0.789166496,0.768923694,0.097735189,0.373278729,19493,2494,523
T11178,Cloud,2025-01-15T01:30:00.000Z,0.500796855,0.507397782,0.06331739,0.724732707,5982,2695,241
T11180,Cloud,2025-01-05T14:27:00.000Z,0.500796855,0.311869933,0.480066317,0.994272978,8937,923,259
T11192,Cloud,2025-01-09T11:30:00.000Z,0.500796855,0.709847554,0.009553406,0.504428297,19019,4472,881
T1120,Cloud,2025-01-13T23:23:00.000Z,0.852434253,0.026168066,0.489737859,0.925991241,16460,1441,440
T11204,Finance,2025-01-04T12:09:00.000Z,0.206767305,0.418346369,0.552858119,0.616560089,6916,4728,19
T1121,Cloud,2025-01-16T15:05:00.000Z,0.500796855,0.321524319,0.671673356,0.136333255,14177,377,607
T11211,Sports,2025-01-20T06:53:00.000Z,0.60936057,0.959494722,0.233653986,0.981618978,10461,1626,111
T11226,Finance,2025-01-19T23:12:00.000Z,0.679763457,0.910781423,0.121628765,0.019634216,11927,2904,734
T11228,Cloud,2025-01-21T01:05:00.000Z,0.160695592,0.477326517,0.756817113,0.665161097,12994,968,732
T1124,Sports,2025-01-17T03:56:00.000Z,0.552700779,0.446485083,0.508257611,0.504428297,9150,2494,674
T11250,Finance,2025-01-10T10:56:00.000Z,0.063473961,0.023509941,0.891348886,0.490431988,8673,2607,695
T11253,Cloud,2025-01-01T07:25:00.000Z,0.017345488,0.059448546,0.329530445,0.544335699,51,103,251
T11263,Cloud,2025-01-01T19:25:00.000Z,0.500796855,0.579523151,0.740708046,0.144123423,9261,3415,871
T11266,Sports,2025-01-10T05:03:00.000Z,0.228786349,0.190431712,0.301589727,0.85610826,7660,26,50
T11269,Cloud,2025-01-17T00:16:00.000Z,0.538225982,0.866626019,0.935938088,0.43414882,4977,1548,537
T11273,Sports,2025-01-05T15:01:00.000Z,0.500796855,0.04867408,0.944081963,0.730223663,6563,3958,284
T11277,Sports,2025-01-21T02:30:00.000Z,0.500796855,0.9162863,0.305344842,0.64225934,13641,804,894
T11326,Finance,2025-01-21T09:09:00.000Z,0.696312329,0.569855561,0.905022245,0.446360865,13088,2073,719
T11337,Sports,2025-01-17T22:57:00.000Z,0.857712101,0.216478319,0.881257676,0.125502483,1843,345,260
T11352,Sports,2025-01-08T12:36:00.000Z,0.500796855,0.63862073,0.102650431,0.904260994,10130,4540,771
T11366,Finance,2025-01-02T18:05:00.000Z,0.067684679,0.045860786,0.830693821,0.525135189,17216,2609,913
T11369,Sports,2025-01-02T15:19:00.000Z,0.947426318,0.080423794,0.75297019,0.277921956,17835,4286,20
T11370,AI,2025-01-09T13:56:00.000Z,0.500796855,0.41131744,0.047010412,0.044467043,9468,980,195
T1138,Sports,2025-01-12T16:24:00.000Z,0.500796855,0.997726875,0.546280446,0.944698529,5344,3177,444
T11391,Finance,2025-01-03T19:43:00.000Z,0.099873662,0.27456696,0.13929825,0.026623428,3826,596,188
T1140,Finance,2025-01-07T03:08:00.000Z,0.500796855,0.939469189,0.792123915,0.538806002,17157,3895,763
T11405,AI,2025-01-09T06:15:00.000Z,0.371174532,0.900680036,0.595151852,0.504428297,112,1333,732
T11414,Finance,2025-01-16T23:35:00.000Z,0.500796855,0.934018957,0.629321239,0.10414904,7475,4406,637
T11420,AI,2025-01-02T15:31:00.000Z,0.328722069,0.453956281,0.518001288,0.217323714,12969,4363,501
T11436,Cloud,2025-01-03T01:46:00.000Z,0.636970015,0.683747415,0.884871875,0.89439373,16215,2856,769
T11452,Cloud,2025-01-23T06:09:00.000Z,0.500796855,0.892593028,0.318093521,0.109168624,13221,2494,251
T11467,AI,2025-01-05T23:45:00.000Z,0.0850309,0.704557046,0.543093744,0.681135033,3604,2494,894
T11476,Cloud,2025-01-21T10:00:00.000Z,0.555754173,0.966337706,0.565653754,0.982791931,19306,4116,838
T11478,Sports,2025-01-01T00:05:00.000Z,0.500796855,0.127111448,0.998745299,0.248202827,5936,4351,847
T11481,Finance,2025-01-14T12:22:00.000Z,0.500796855,0.030824857,0.320720891,0.686963687,13795,4720,476
T1150,Cloud,2025-01-10T11:47:00.000Z,0.050981859,0.468924473,0.987026142,0.567603527,7716,1995,353
T11515,Finance,2025-01-15T14:28:00.000Z,0.500796855,0.198881381,0.91291998,0.634429269,11964,2919,911
T11516,AI,2025-01-07T21:41:00.000Z,0.588621441,0.813938973,0.690723711,0.038086446,5805,408,978
T11522,Cloud,2025-01-13T03:03:00.000Z,0.166293076,0.202387672,0.056769528,0.72259721,15567,4387,37
T11523,AI,2025-01-23T15:45:00.000Z,0.500796855,0.608729192,0.678567566,0.417024619,1658,550,535
T11524,Finance,2025-01-09T07:56:00.000Z,0.855109725,0.621420965,0.021593116,0.934114643,10130,1793,76
T11533,Cloud,2025-01-10T05:11:00.000Z,0.68916046,0.354588275,0.617110578,0.376627944,10898,4383,785
T11540,AI,2025-01-20T14:30:00.000Z,0.534085009,0.339024027,0.531467465,0.435071753,5224,2190,776
T11543,AI,2025-01-18T02:18:00.000Z,0.670253684,0.585380449,0.565438495,0.189191141,19637,3196,988
T11549,Finance,2025-01-19T20:10:00.000Z,0.789588408,0.767463022,0.972700251,0.508774288,14488,3903,325
T11551,AI,2025-01-08T08:06:00.000Z,0.610471643,0.099896558,0.563938976,0.417607685,3420,771,348
T11559,Finance,2025-01-22T06:45:00.000Z,0.721848225,0.49738816,0.504124182,0.734016214,5635,3266,847
T11563,AI,2025-01-09T08:11:00.000Z,0.413647129,0.128468566,0.790862118,0.472580468,1657,2494,870
T11576,Cloud,2025-01-07T22:35:00.000Z,0.683236351,0.177105574,0.907802867,0.73943806,7761,680,264
T1159,Finance,2025-01-02T21:16:00.000Z,0.500796855,0.199839307,0.651808056,0.962701647,9860,1607,272
T1160,Finance,2025-01-13T15:43:00.000Z,0.849917806,0.748752104,0.843170593,0.866476072,15452,153,984
T11605,Sports,2025-01-13T01:05:00.000Z,0.141828853,0.176138914,0.658400932,0.265713972,14994,36,115
T11608,Finance,2025-01-12T00:59:00.000Z,0.321323909,0.924909256,0.442269139,0.810545994,3076,2494,590
T11610,AI,2025-01-10T23:50:00.000Z,0.735646001,0.592094358,0.399758966,0.924082325,18148,348,391
T1162,Cloud,2025-01-15T18:09:00.000Z,0.500796855,0.542890011,0.125300267,0.712851639,2111,3822,940
T11626,Sports,2025-01-01T05:33:00.000Z,0.394501268,0.179206739,0.870083337,0.184634826,12480,4965,37
T11646,AI,2025-01-09T15:57:00.000Z,0.755179789,0.713071875,0.358060786,0.861024978,10141,2584,30
T11648,Finance,2025-01-09T17:36:00.000Z,0.500796855,0.619490986,0.698569121,0.758418498,1116,2599,827
T11652,Finance,2025-01-11T18:53:00.000Z,0.290727991,0.250287403,0.613250136,0.847222966,12194,3674,761
T11667,Cloud,2025-01-11T10:24:00.000Z,0.500796855,0.667014132,0.874435684,0.216867086,3074,1270,858
T11671,Cloud,2025-01-19T19:00:00.000Z,0.362706361,0.868634513,0.05138858,0.272322238,17968,4119,487
T11679,Cloud,2025-01-16T15:50:00.000Z,0.500796855,0.644212413,0.58639443,0.771759563,16360,4746,748
T11703,Sports,2025-01-02T05:26:00.000Z,0.500796855,0.668404299,0.217454459,0.504428297,3888,1331,243
T1171,Sports,2025-01-18T02:10:00.000Z,0.500796855,0.984959124,0.69336606,0.946869164,4131,3809,82
T11711,Sports,2025-01-18T05:24:00.000Z,0.500796855,0.862021425,0.538281677,0.263435671,17050,254,620
T11714,Cloud,2025-01-18T20:56:00.000Z,0.500796855,0.882449767,0.947350489,0.671043083,18955,588,42
T11720,Sports,2025-01-23T04:22:00.000Z,0.500796855,0.548734154,0.096088534,0.476855561,11446,3980,906
T11730,Sports,2025-01-03T17:50:00.000Z,0.248874591,0.32675486,0.324707566,0.96988513,18456,2452,723
T11746,Cloud,2025-01-08T19:53:00.000Z,0.899058693,0.956746777,0.679783789,0.398270358,14744,1373,684
T11772,Sports,2025-01-09T02:10:00.000Z,0.500796855,0.471161131,0.958375047,0.328543593,2319,3816,271
T11774,Sports,2025-01-19T23:54:00.000Z,0.500796855,0.919310466,0.492344545,0.278587883,12026,2494,851
T11780,Cloud,2025-01-17T22:48:00.000Z,0.500796855,0.510316925,0.058827358,0.471922504,4823,2339,676
T11787,AI,2025-01-17T06:29:00.000Z,0.500796855,0.049778065,0.064440509,0.320106091,13798,526,156
T11789,Sports,2025-01-14T23:44:00.000Z,0.101147208,0.596203822,0.378219878,0.61268281,19113,1508,637
T1179,Sports,2025-01-18T01:02:00.000Z,0.500796855,0.439765956,0.751228572,0.129586659,15724,1663,652
T11797,Sports,2025-01-05T07:16:00.000Z,0.500796855,0.164349986,0.813707556,0.64133359,11988,2562,1000
T1180,Sports,2025-01-02T10:23:00.000Z,0.252147557,0.727537774,0.863991036,0.242502353,7004,2494,583
T11801,Sports,2025-01-21T07:44:00.000Z,0.500796855,0.832467785,0.818979445,0.915620404,936,4846,218
T11817,Sports,2025-01-19T00:19:00.000Z,0.222564591,0.160783917,0.271696844,0.983273785,17980,3007,473
T11838,Finance,2025-01-12T15:53:00.000Z,0.500796855,0.49738816,0.81774036,0.710082158,6386,742,261
T11849,Cloud,2025-01-05T13:14:00.000Z,0.500796855,0.311534037,0.922990128,0.0928909,10479,3689,846
T11898,Finance,2025-01-11T19:44:00.000Z,0.989939105,0.777124955,0.554294628,0.202877139,10130,611,578
T119,Sports,2025-01-11T22:23:00.000Z,0.154494198,0.493496207,0.089073532,0.096301211,3455,555,958
T1190,Cloud,2025-01-14T05:00:00.000Z,0.784109034,0.423752873,0.387850701,0.983821192,16493,4868,69
T11911,Finance,2025-01-10T04:45:00.000Z,0.170173862,0.985778293,0.679645766,0.614720433,6718,4168,277
T11915,AI,2025-01-01T16:01:00.000Z,0.021602722,0.790666598,0.189309879,0.234584049,5656,2,252
T11917,Finance,2025-01-16T08:19:00.000Z,0.423249757,0.106107893,0.937707627,0.504428297,8187,3387,533
T11924,AI,2025-01-01T06:32:00.000Z,0.740417905,0.972985984,0.216965625,0.10210695,7626,283,999
T11931,Finance,2025-01-05T04:39:00.000Z,0.463031816,0.255327739,0.166704079,0.504428297,6494,4112,881
T11941,AI,2025-01-09T05:24:00.000Z,0.80695579,0.608112649,0.275592963,0.145516773,896,2487,622
T11946,Sports,2025-01-13T14:04:00.000Z,0.500796855,0.100588825,0.74523509,0.034560492,9242,2384,248
T11954,AI,2025-01-18T03:22:00.000Z,0.500796855,0.49738816,0.117151681,0.325259482,14672,2979,976
T11955,Finance,2025-01-09T21:25:00.000Z,0.500796855,0.149449363,0.397833779,0.403045792,14838,2389,908
T1196,Sports,2025-01-20T02:32:00.000Z,0.56517601,0.556676591,0.764656122,0.421318462,13006,1694,843
T11961,AI,2025-01-02T21:26:00.000Z,0.418904522,0.879296598,0.999347773,0.278843895,3362,4659,187
T11978,Cloud,2025-01-19T14:51:00.000Z,0.415663586,0.222505051,0.315984586,0.037854502,2530,4037,18
T1199,Sports,2025-01-06T05:20:00.000Z,0.033720575,0.64690792,0.440960577,0.64781397,13386,2687,122
T11996,Cloud,2025-01-05T21:19:00.000Z,0.577542893,0.204868058,0.917653592,0.935424868,10705,4319,155
T1200,AI,2025-01-17T16:17:00.000Z,0.500796855,0.365530298,0.377549197,0.982281848,16630,2376,853
T12000,Sports,2025-01-03T14:50:00.000Z,0.495682704,0.903881853,0.214622811,0.808628434,10130,3412,126
T12005,Sports,2025-01-02T03:07:00.000Z,0.611320076,0.615587178,0.038846495,0.652339087,4936,1727,55
T12006,AI,2025-01-12T15:32:00.000Z,0.303309568,0.021704132,0.429465448,0.203368739,2323,597,137
T12017,Sports,2025-01-20T01:49:00.000Z,0.500796855,0.802698345,0.826704529,0.34877876,14719,1627,736
T1202,Sports,2025-01-18T02:49:00.000Z,0.500796855,0.182907732,0.932050998,0.468037573,413,3836,415
T12023,Sports,2025-01-06T16:18:00.000Z,0.365137749,0.309084278,0.479957601,0.052532623,19181,2754,276
T12036,Sports,2025-01-12T01:35:00.000Z,0.968188387,0.273796645,0.414852632,0.01745036,13075,1995,286
T12037,Cloud,2025-01-03T15:56:00.000Z,0.500796855,0.373761672,0.811843121,0.53329739,8267,722,498
T12047,Sports,2025-01-12T05:08:00.000Z,0.343512785,0.336135789,0.067488521,0.911418047,17060,2938,955
T12049,Finance,2025-01-08T06:50:00.000Z,0.727303377,0.570368005,0.995767495,0.504428297,14418,3064,458
T1206,Sports,2025-01-01T01:10:00.000Z,0.500796855,0.424662948,0.546885771,0.776960059,16501,4279,627
T12061,Finance,2025-01-16T09:33:00.000Z,0.076911139,0.652197158,0.137574984,0.117070382,10523,2038,644
T12065,Finance,2025-01-14T21:48:00.000Z,0.500796855,0.524358002,0.778732888,0.332840402,1242,2235,501
T12083,Cloud,2025-01-05T16:36:00.000Z,0.631588374,0.594158928,0.096220092,0.066810288,5204,4745,835
T12086,AI,2025-01-18T08:01:00.000Z,0.500796855,0.678105427,0.492344545,0.797590228,8346,4546,405
T1209,Cloud,2025-01-19T05:29:00.000Z,0.626806297,0.283738264,0.915476146,0.518351432,6502,4185,487
T12107,AI,2025-01-14T02:09:00.000Z,0.274051083,0.717970729,0.425260649,0.08095127,9269,4677,306
T12112,Sports,2025-01-06T09:41:00.000Z,0.301913815,0.540166981,0.508209236,0.509223065,1165,3300,695
T12141,Finance,2025-01-14T16:07:00.000Z,0.500796855,0.467806786,0.583575489,0.084532218,4927,990,955
T12147,Cloud,2025-01-17T01:09:00.000Z,0.500796855,0.880168345,0.412712957,0.949804289,15426,230,316
T1217,AI,2025-01-05T01:09:00.000Z,0.646973064,0.89162306,0.532003741,0.315013023,3468,3009,390
T12171,Finance,2025-01-09T18:59:00.000Z,0.989435664,0.599546669,0.054347545,0.2407947,108,4133,374
T1218,Sports,2025-01-20T01:19:00.000Z,0.500796855,0.482612325,0.425129046,0.968854342,6804,3175,905
T12184,Finance,2025-01-07T17:13:00.000Z,0.961018702,0.305389648,0.550731126,0.86502279,14747,4657,335
T12187,Cloud,2025-01-21T07:22:00.000Z,0.500796855,0.759714324,0.233680235,0.33578318,630,570,255
